2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Details'
2026-03-04 00:51:31 | DEBUG | chunker | Chunk 8429e22a-e15b-4893-bb13-858d5008205b created (words 0-34)
2026-03-04 00:51:31 | INFO | chunker | Created 1 chunks for section 'Complete JSON example'
2026-03-04 00:51:31 | INFO | chunker | Total chunks created: 26
2026-03-04 01:01:06 | INFO | chunker | Chunker initialized (max_chunk_size=200, overlap=50)
2026-03-04 01:01:06 | INFO | chunker | Starting chunking process for document_id=764df647-5c63-4664-8932-44291b052dc5
2026-03-04 01:01:06 | INFO | chunker | Created 0 chunks for section 'Current Speed Stage'
2026-03-04 01:01:06 | DEBUG | chunker | Chunk 45d32d32-7a8e-4470-bb8e-b66451fea53e created (words 0-25)
2026-03-04 01:01:06 | INFO | chunker | Created 1 chunks for section 'Summary'
2026-03-04 01:01:06 | DEBUG | chunker | Chunk c3788497-eeee-4981-b6f9-42e75c75ab8e created (words 0-71)
2026-03-04 01:01:06 | INFO | chunker | Created 1 chunks for section 'Compatibility'
2026-03-04 01:01:06 | DEBUG | chunker | Chunk 7ca8f039-90c2-40c0-a7fb-a866b0e64acb created (words 0-82)
2026-03-04 01:01:06 | INFO | chunker | Created 1 chunks for section 'Detailed description'
2026-03-04 01:01:06 | DEBUG | chunker | Chunk a3367315-9c8c-4ba6-8d89-4b0838c35d00 created (words 0-200)
2026-03-04 01:01:06 | DEBUG | chunker | Chunk c2b72ef3-384a-44dd-83ce-462788e7faa4 created (words 150-350)
2026-03-04 01:01:06 | DEBUG | chunker | Chunk d4c2b543-5a8c-483b-96dc-03f5b848adbd created (words 300-384)
2026-03-04 01:01:06 | INFO | chunker | Created 3 chunks for section 'Flowchart'
2026-03-04 01:01:06 | DEBUG | chunker | Chunk 975a9aeb-81dc-4ec0-a192-09c8b1f239ab created (words 0-114)
2026-03-04 01:01:06 | INFO | chunker | Created 1 chunks for section 'Input parameters'
2026-03-04 01:01:06 | DEBUG | chunker | Chunk 36eb1164-5604-4021-91ed-56341e0a95c3 created (words 0-108)
2026-03-04 01:01:06 | INFO | chunker | Created 1 chunks for section 'Outputs'
2026-03-04 01:01:06 | DEBUG | chunker | Chunk b5bae2c8-b017-4ffb-befc-59127dc29d90 created (words 0-164)
2026-03-04 01:01:06 | INFO | chunker | Created 1 chunks for section 'Exceptions'
2026-03-04 01:01:06 | INFO | chunker | Created 0 chunks for section 'Parameter details'
